objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
NSH001,IMG_8803.png,,,Waiting for boarding,Juno Ormond,03/24/26,Photograph of my friend Skylar and I waiting for boarding at CLT airport,travel,"Charlotte, NC",35.2271,-80.8431,"Juno Ormond, iPhone",jo_1_26,Image;StillImage,png,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
NSH002,IMG_8805.png,,,Nashville parking deck,Juno Ormond,03/24/26,Photograph of parking deck at Nashville airport,travel,"Nashville, TN",36.1627,-86.7816,"Juno Ormond, iPhone",jo_2_26,Image;StillImage,png,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
NSH003,IMG_8074.png,,,"Waiting for boarding, making braclets",Juno Ormond,03/24/26,Photograph of me making bracelts while waiting for boarding ,travel,"Charlotte, NC",35.2271,-80.8431,"Juno Ormond, iPhone",jo_3_26,Image;StillImage,png,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
NSH004,IMG_8127.png,,,The rink ,Juno Ormond,03/24/26,Photograph of my friend Skylar and I at Bridgestone Arena,sports,"Nashville, TN",36.1627,-86.7816,"Juno Ormond, iPhone",jo_4_26,Image;StillImage,png,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
NSH005,IMG_8814.png,,,San Jose Sharks team ,Juno Ormond,03/24/26,"Photograph of SJS players, included are Collin Graf, William Eklund, Alexander Wennburg, Shakir Mukhamadullin, and Mario Ferraro.",sports,"Nashville, TN",36.1627,-86.7816,"Juno Ormond, iPhone",jo_5_26,Image;StillImage,png,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
NSH006,IMG_8816.png,,,Seat view at arena,Juno Ormond,03/24/26,Photograph of seat view of rink during the game!,sports,"Nashville, TN",36.1627,-86.7816,"Juno Ormond, iPhone",jo_6_26,Image;StillImage,png,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
NSH007,IMG_8813.png,,,National Anthem ,Juno Ormond,03/24/26,"Photograph Seat view of rink, during National Anthem ",sports,"Nashville, TN",36.1627,-86.7816,"Juno Ormond, iPhone",jo_7_26,Image;StillImage,png,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
NSH008,IMG_8810.png,,,San Jose bench,Juno Ormond,03/24/26,"Photograph of SJS bench. Visible is one of the SJS Broadcasters, Drew Remenda!",sports,"Nashville, TN",36.1627,-86.7816,"Juno Ormond, iPhone",jo_8_26,Image;StillImage,png,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
NSH009,IMG_8808.png,,,Up close look at the rink,Juno Ormond,03/24/26,"Photograph of rink up close, pre warm ups.",sports,"Nashville, TN",36.1627,-86.7816,"Juno Ormond, iPhone",jo_9_26,Image;StillImage,png,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
NSH010,,ijsytyiGFik,,Warm ups,Juno Ormond,03/24/26,Video of Sharks Warm Ups,sports,"Nashville, TN",36.1627,-86.7816,"Juno Ormond, iPhone",jo_10_26,Video:Mp4,mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
